id,name,description,category,system_prompt,model_provider,model_version,is_active,created_by,knowledge_sources,external_data_sources,fallback_provider,created_at,updated_at,slug,is_enabled,scope,data_sources,schedule_config,output_actions,config
c1000000-0000-0000-0000-000000000013,Documentation Generator,Generates technical documentation,documentation,You generate technical docs...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,documentation-generator,t,global,[],,,
c1000000-0000-0000-0000-000000000014,Carousel Creator,Creates LinkedIn carousel content,linkedin,You create carousel content...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,carousel-creator,t,global,[],,,
c1000000-0000-0000-0000-000000000015,Daily Head Start,Morning briefing and task prioritization,management,You provide daily briefings...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,daily-head-start,t,global,[],,,
c1000000-0000-0000-0000-000000000005,Content Strategist,Develops content strategy and calendars,strategy,You are a content strategy expert...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,content-strategist,t,brand,[],,,
c1000000-0000-0000-0000-000000000012,Reel Hook Generator,Creates hooks for social media reels,social,You create engaging reel hooks...,openai,gpt-4o,t,500b4a7f-4c4a-429e-a307-0601568c8525,,,,2026-02-24 11:21:28.580725+00,2026-02-24 11:21:28.580725+00,reel-hook-generator,t,brand,[],,,
414b165e-cd7b-4d43-9167-0da903bca069,Data Strategist,"Turn data into clear charts, executive summaries, and actionable insights for marketing team",business_analysis,"SYSTEM: You are the Data Strategist for SJ Innovation marketing team inside Control Tower. Turn data into two clear charts, a three-bullet executive summary, and three
  concrete actions marketing can run this week. Format: Return structured JSON with keys: charts, summary, actions, reproduce, data_warnings, confidence.",openai,gpt-4o,t,,,,,2026-02-27 05:07:52.207407+00,2026-02-27 05:07:52.207407+00,data-strategist,t,brand,"[""brands"", ""brand_kpis"", ""brand_analytics_data"", ""projects""]","{""day"": ""monday"", ""time"": ""09:00"", ""schedule"": ""weekly""}","{""charts"": true, ""actions"": true, ""summary"": true, ""reproduce_formula"": true}",
7ad738b9-7bc2-4c4e-be33-0e88d1709fce,SEO Blog Generator,Generate SEO-optimized blog posts with strict keyword placement and formatting rules,seo,"You are an expert SEO blog writer. Return ONLY valid JSON: {""title"": ""..."", ""paragraphs"": [""..."", ""...""]}",openai,gpt-4o,t,,,,,2026-02-27 05:07:52.207407+00,2026-02-27 05:07:52.207407+00,seo-blog-generator,t,brand,"{""ai_model"": ""gpt-4o"", ""knowledge_collections"": [""brand_knowledge"", ""global_knowledge""]}",,,
12b0bbbe-f682-4485-bec3-e78ea737667d,LinkedIn Content Generator,"Generates LinkedIn posts using thought leader personas, company knowledge, and influencer styles",content_generation,"You are a LinkedIn content generation assistant. Create engaging, professional posts tailored to thought leaders.",openai,gpt-4o,t,,,,,2026-02-27 05:07:52.207407+00,2026-02-27 05:07:52.207407+00,linkedin-content-gen,t,brand,"[""company_knowledge_base"", ""influencer_style_library"", ""linkedin_agent_templates""]",,,
c97a5e39-3f6f-4c72-9121-e2df411181c6,Brand Performance Optimization,"Analyzes brand performance across KPIs, team efficiency, budget utilization, and cross-brand insights to optimize overall brand portfolio performance.",brand_performance,"You are a Brand Performance Optimization AI agent specializing in multi-brand portfolio analysis. Provide analysis in JSON format with sections: summary, key_findings,
  brand_rankings, recommendations, metrics, action_items.",openai,gpt-4o,t,,,,,2026-02-27 05:07:52.207407+00,2026-02-27 05:07:52.207407+00,brand-performance-optimization,t,brand,"[""brands"", ""brand_kpis"", ""projects"", ""users"", ""clients""]",,,
2b9f17a0-b9a7-49ca-afef-f8113d5aca75,Hero Section Optimizer,Transform inputs into high-converting hero sections using strategic analysis and iterative refinement.,marketing,"You are a senior CRO copywriter. Return ONLY valid JSON: {""headline"": ""..."", ""subheadline"": ""..."", ""primary_cta"": ""..."", ""secondary_line"": ""...""}",openai,gpt-4o,t,,,,,2026-02-27 05:07:52.207407+00,2026-02-27 05:07:52.207407+00,hero-section-optimizer,t,brand,"[""brands"", ""brand_knowledge_embeddings""]",,,"{""model_version"": ""gpt-4o"", ""execution_mode"": ""multi_step"", ""model_provider"": ""openai"", ""evaluation_model"": ""gpt-4o-mini"", ""fallback_provider"": ""gemini:2.0-pro"", ""min_quality_score"": 8, ""max_refinement_attempts"": 2}"
3c32e0a9-fc69-4667-b02d-d30055a8f671,Brand Docs Generator,"Generate marketing documentation including brand voice guidelines, content playbooks, campaign briefs, and team SOPs",content_generation,"You are a brand marketing documentation specialist. Generate comprehensive, actionable documentation tailored to the brand's voice, values, and strategic goals.",openai,gpt-4o,t,,,,,2026-02-27 05:07:52.207407+00,2026-02-27 05:07:52.207407+00,brand-docs-generator,t,brand,"[""brand_knowledge"", ""brand_analytics"", ""brand_kpis""]",,,
