id,project_id,title,description,status,priority,assigned_to,due_date,activecollab_task_id,created_at,updated_at,actual_hours,completed_at
00000000-0000-0000-0002-000000000012,f2000000-0000-0000-0000-000000000001,Email nurture sequences,Build 3 automated email sequences for lead nurturing,todo,medium,,2026-03-10,,2026-02-07 06:59:22.555052+00,2026-02-27 06:59:22.555052+00,0,
00000000-0000-0000-0002-000000000014,f2000000-0000-0000-0000-000000000002,Brand guidelines document,"Finalize guidelines covering logo, color, typography, and tone",in_progress,high,,2026-03-15,,2026-01-28 06:59:22.555052+00,2026-02-25 06:59:22.555052+00,18,
5fa34ffe-f14c-4e68-b623-c28753be13a5,f2000000-0000-0000-0000-000000000001,Create campaign brief,Draft the initial campaign brief document,completed,high,afa2dd3c-4213-4137-a743-12c7c65b4e7d,2026-01-15,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,20.2,2026-02-24 11:30:21.423341+00
46aa4296-14f7-4662-ae9c-b438cf4e40c2,f2000000-0000-0000-0000-000000000001,Set up analytics,Configure tracking and analytics,completed,medium,afa2dd3c-4213-4137-a743-12c7c65b4e7d,2026-01-20,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,4.2,2026-02-24 11:30:21.423341+00
92ea8659-0016-4426-a6f5-c2a741dfbea9,f2000000-0000-0000-0000-000000000002,Brand audit,Conduct thorough brand audit,completed,high,500b4a7f-4c4a-429e-a307-0601568c8525,2026-02-01,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,13.0,2026-02-24 11:30:21.423341+00
0f946dbc-d4ae-4cd2-af0a-63c29fcec09f,f2000000-0000-0000-0000-000000000003,Social media audit,Audit existing social presence,completed,high,afa2dd3c-4213-4137-a743-12c7c65b4e7d,2026-02-10,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,16.4,2026-02-24 11:30:21.423341+00
db82a8f3-e127-495a-a0ba-11281d9e0028,f2000000-0000-0000-0000-000000000005,Blog strategy,Develop blog content strategy,completed,high,afa2dd3c-4213-4137-a743-12c7c65b4e7d,2026-01-20,,2026-02-24 11:30:21.423341+00,2026-02-24 11:30:21.423341+00,13.2,2026-02-24 11:30:21.423341+00
da500001-0000-0000-0000-000000000001,6e305856-fa04-44c6-9186-1058bc55e202,Content calendar planning,Plan 60 pieces of content for Q1,completed,high,c5806b04-2637-4c5d-bfba-a0c93188d879,2026-03-05,,2026-01-02 08:27:34.694116+00,2026-01-07 08:27:34.694116+00,21.5,2026-01-07 08:27:34.694116+00
00000000-0000-0000-0002-000000000001,6e305856-fa04-44c6-9186-1058bc55e202,Content calendar planning,Plan 60 pieces of content for Q1 across all channels,completed,high,,2026-01-15,,2026-01-03 06:59:22.555052+00,2026-01-08 06:59:22.555052+00,16,2026-01-08 06:59:22.555052+00
00000000-0000-0000-0002-000000000006,1c25193b-616f-4bc7-a8f2-b7976faee2ba,January blog posts (4),Create 4 SEO blogs covering cloud architecture trends,completed,high,,2026-01-31,,2026-01-08 06:59:22.555052+00,2026-01-28 06:59:22.555052+00,20,2026-01-28 06:59:22.555052+00
00000000-0000-0000-0002-000000000010,f2000000-0000-0000-0000-000000000001,Campaign strategy doc,"Define goals, KPIs, target audiences and channel mix",completed,high,,2026-01-10,,2026-01-10 06:59:22.555052+00,2026-01-18 06:59:22.555052+00,12,2026-01-18 06:59:22.555052+00
00000000-0000-0000-0002-000000000013,f2000000-0000-0000-0000-000000000002,Logo design concepts,Create 3 logo design variations for client review,completed,high,,2026-02-15,,2026-01-23 06:59:22.555052+00,2026-02-02 06:59:22.555052+00,24,2026-02-02 06:59:22.555052+00
00000000-0000-0000-0002-000000000015,f2000000-0000-0000-0000-000000000002,Messaging framework,Develop core value propositions and competitive positioning,in_progress,high,,2026-03-31,,2026-01-30 06:59:22.555052+00,2026-02-27 06:59:22.555052+00,8,
00000000-0000-0000-0002-000000000016,f2000000-0000-0000-0000-000000000002,Client brand presentation,Facilitate client workshop for brand sign-off,todo,medium,,2026-04-10,,2026-02-17 06:59:22.555052+00,2026-02-27 06:59:22.555052+00,0,
00000000-0000-0000-0002-000000000018,f2000000-0000-0000-0000-000000000003,Content pillar development,Define 5 content pillars and posting cadence per platform,in_progress,high,,2026-03-01,,2026-02-07 06:59:22.555052+00,2026-02-24 06:59:22.555052+00,5,
00000000-0000-0000-0002-000000000019,f2000000-0000-0000-0000-000000000003,Influencer outreach list,Identify and qualify 20 micro-influencers for partnership,todo,low,,2026-03-20,,2026-02-17 06:59:22.555052+00,2026-02-27 06:59:22.555052+00,0,
00000000-0000-0000-0002-000000000021,f2000000-0000-0000-0000-000000000004,Homepage copy and design,Write conversion-focused copy and produce final homepage design,in_progress,high,,2026-03-10,,2026-02-02 06:59:22.555052+00,2026-02-25 06:59:22.555052+00,14,
00000000-0000-0000-0002-000000000022,f2000000-0000-0000-0000-000000000004,CMS migration,Migrate all existing content to new CMS structure,todo,medium,,2026-04-15,,2026-02-15 06:59:22.555052+00,2026-02-27 06:59:22.555052+00,0,
00000000-0000-0000-0002-000000000024,f2000000-0000-0000-0000-000000000005,Editorial calendar Q2,Plan and assign all Q2 content across writers and designers,in_progress,high,,2026-03-07,,2026-02-13 06:59:22.555052+00,2026-02-26 06:59:22.555052+00,4,
f0000000-0000-0000-0003-000000000002,e1000000-0000-0000-0000-000000000001,Landing page copywriting,Write conversion-focused copy for 2 landing pages,in_progress,high,,2026-03-20,,2026-02-10 15:21:20.254968+00,2026-02-28 15:21:20.254968+00,0,
f0000000-0000-0000-0003-000000000003,e1000000-0000-0000-0000-000000000001,Email nurture sequence (5-part),Write and schedule 5-email drip campaign for MQL nurturing,todo,medium,,2026-04-10,,2026-02-20 15:21:20.254968+00,2026-03-02 15:21:20.254968+00,0,
f0000000-0000-0000-0003-000000000004,e1000000-0000-0000-0000-000000000002,Campaign strategy document,"Define goals, KPIs, channels, budget allocation, and timeline",in_progress,high,,2026-03-15,,2026-02-22 15:21:20.254968+00,2026-03-01 15:21:20.254968+00,0,
f0000000-0000-0000-0003-000000000005,e1000000-0000-0000-0000-000000000002,Creative brief and moodboard,Develop visual direction and creative guidelines for campaign,todo,medium,,2026-03-25,,2026-02-25 15:21:20.254968+00,2026-03-02 15:21:20.254968+00,0,
f0000000-0000-0000-0003-000000000006,e1000000-0000-0000-0000-000000000002,Analytics and tracking setup,"Configure GA4, UTM parameters, and conversion events",todo,low,,2026-03-30,,2026-02-27 15:21:20.254968+00,2026-03-02 15:21:20.254968+00,0,
f0000000-0000-0000-0003-000000000009,e1000000-0000-0000-0000-000000000003,Brand guidelines document,"Compile full brand guidelines covering logo, color, typography, tone",in_progress,high,,2026-04-15,,2026-02-20 15:21:20.254968+00,2026-03-01 15:21:20.254968+00,0,
f0000000-0000-0000-0003-000000000010,e1000000-0000-0000-0000-000000000003,Client sign-off presentation,Present final brand system to client for approval,todo,medium,,2026-05-01,,2026-02-25 15:21:20.254968+00,2026-03-02 15:21:20.254968+00,0,
f0000000-0000-0000-0003-000000000014,e1000000-0000-0000-0000-000000000004,March SEO blogs (6),Write and publish 6 SEO blogs for March,in_progress,high,,2026-03-31,,2026-02-20 15:21:20.254968+00,2026-03-02 15:21:20.254968+00,0,
00000000-0000-0000-0002-000000000017,f2000000-0000-0000-0000-000000000003,Platform audit,Audit current social media presence across all channels,completed,high,,2026-02-05,,2026-01-18 06:59:22.555052+00,2026-01-28 06:59:22.555052+00,8,2026-01-28 06:59:22.555052+00
00000000-0000-0000-0002-000000000020,f2000000-0000-0000-0000-000000000004,UX research and wireframes,Conduct user interviews and produce low-fi wireframes,completed,high,,2026-01-31,,2026-01-13 06:59:22.555052+00,2026-01-23 06:59:22.555052+00,30,2026-01-23 06:59:22.555052+00
00000000-0000-0000-0002-000000000023,f2000000-0000-0000-0000-000000000005,Keyword research,Build master keyword list for all content verticals,completed,medium,,2026-02-10,,2026-01-28 06:59:22.555052+00,2026-02-07 06:59:22.555052+00,10,2026-02-07 06:59:22.555052+00
f0000000-0000-0000-0003-000000000001,e1000000-0000-0000-0000-000000000001,Audience persona research,Define 3 ICP personas with pain points and buying triggers,completed,high,,2026-02-15,,2026-01-21 15:21:20.254968+00,2026-01-31 15:21:20.254968+00,0,2026-01-31 15:21:20.254968+00
f0000000-0000-0000-0003-000000000007,e1000000-0000-0000-0000-000000000003,Discovery workshop,Run brand discovery session with client stakeholders,completed,high,,2026-02-10,,2026-02-02 15:21:20.254968+00,2026-02-10 15:21:20.254968+00,0,2026-02-10 15:21:20.254968+00
f0000000-0000-0000-0003-000000000008,e1000000-0000-0000-0000-000000000003,Logo concepts (3 directions),Design 3 distinct logo directions for client review,completed,high,,2026-03-01,,2026-02-10 15:21:20.254968+00,2026-02-20 15:21:20.254968+00,0,2026-02-20 15:21:20.254968+00
f0000000-0000-0000-0003-000000000011,e1000000-0000-0000-0000-000000000004,Master keyword research,Build keyword cluster map for all content verticals,completed,high,,2026-01-20,,2026-01-06 15:21:20.254968+00,2026-01-16 15:21:20.254968+00,0,2026-01-16 15:21:20.254968+00
f0000000-0000-0000-0003-000000000012,e1000000-0000-0000-0000-000000000004,January SEO blogs (6),Write and publish 6 SEO-optimized blog posts,completed,high,,2026-01-31,,2026-01-11 15:21:20.254968+00,2026-01-26 15:21:20.254968+00,0,2026-01-26 15:21:20.254968+00
f0000000-0000-0000-0003-000000000013,e1000000-0000-0000-0000-000000000004,February SEO blogs (6),Write and publish 6 SEO blogs targeting mid-funnel keywords,completed,high,,2026-02-28,,2026-01-31 15:21:20.254968+00,2026-02-15 15:21:20.254968+00,0,2026-02-15 15:21:20.254968+00
